freq,unit,sex,age,citizen,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,M,Y20-64,EU27_2020_FOR,LT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,LU	6.5 b	5.5 	5.5 	4.7 	5.9 	6.7 	4.5 b	3.0 	4.3 u	5.4 
A,PC,M,Y20-64,EU27_2020_FOR,LV	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,ME	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,M,Y20-64,EU27_2020_FOR,MK	: u	: u	: u	: u	: 	: u	: 	: 	: 	: 
A,PC,M,Y20-64,EU27_2020_FOR,MT	: u	: u	4.1 u	4.3 u	: u	3.4 u	3.1 bu	2.9 u	: u	2.7 u
A,PC,M,Y20-64,EU27_2020_FOR,NL	8.1 	6.4 	3.6 	2.7 	2.9 	2.5 	4.2 b	1.7 	2.9 	3.7 
A,PC,M,Y20-64,EU27_2020_FOR,NO	8.2 	6.5 	: u	4.8 u	5.9 u	7.5 u	6.5 bu	: u	5.1 u	4.9 u
A,PC,M,Y20-64,EU27_2020_FOR,PL	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,PT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,RO	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,RS	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,SE	6.7 	7.7 	7.8 	3.8 bu	4.8 u	7.5 u	5.1 bu	5.3 u	7.0 u	8.0 
A,PC,M,Y20-64,EU27_2020_FOR,SI	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,SK	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,UK	4.0 	3.3 	2.3 	2.2 	2.2 	: 	: 	: 	: 	: 
A,PC,M,Y20-64,NAT,AT	5.0 	5.1 	4.8 	3.9 	3.5 	4.0 	4.7 b	3.8 	3.9 	4.0 
A,PC,M,Y20-64,NAT,BA	: 	: 	: 	: 	: 	: 	14.1 b	12.3 	10.6 	10.3 
A,PC,M,Y20-64,NAT,BE	7.9 	6.9 	6.0 b	5.2 	5.0 	4.9 	5.8 b	5.0 	4.9 	5.0 
A,PC,M,Y20-64,NAT,BG	9.7 	8.1 	6.3 	5.6 	4.4 b	5.3 	5.3 b	4.3 	4.3 	4.3 
A,PC,M,Y20-64,NAT,CH	3.3 	3.3 	3.5 	3.2 	2.9 	3.7 	3.7 b	3.0 	2.8 	2.8 
A,PC,M,Y20-64,NAT,CY	15.1 	12.5 	10.8 	7.9 	6.7 	7.1 	6.2 b	4.9 	4.9 	4.1 
A,PC,M,Y20-64,NAT,CZ	4.2 	3.4 	2.3 	1.7 	1.7 	2.2 	2.2 b	1.7 	2.1 	2.0 
A,PC,M,Y20-64,NAT,DE	4.5 	3.8 	3.4 	3.1 	2.8 	3.2 b	3.2 b	2.7 	2.6 	2.7 
A,PC,M,Y20-64,NAT,DK	5.1 	4.7 b	4.6 b	4.0 	4.2 	4.6 	4.4 b	3.6 	4.1 b	4.8 
A,PC,M,Y20-64,NAT,EE	5.9 	6.5 	5.4 	4.6 	3.5 	6.1 	6.0 b	5.3 	5.5 	6.8 
A,PC,M,Y20-64,NAT,EL	21.1 	19.3 	17.4 	15.0 	13.5 	13.1 	11.1 b	9.0 	8.3 	7.9 
A,PC,M,Y20-64,NAT,ES	19.1 	16.9 	14.4 	12.5 	11.3 	12.4 	12.0 bd	10.3 d	9.5 d	8.9 d
A,PC,M,Y20-64,NAT,EU27_2020	9.2 	8.3 	7.3 	6.4 	5.8 	6.1 	6.1 b	5.3 	5.2 	5.0 
A,PC,M,Y20-64,NAT,FI	9.1 	8.3 	8.3 	6.8 	6.5 	7.3 	7.5 b	6.5 	7.0 	8.1 
A,PC,M,Y20-64,NAT,FR	9.6 	9.2 	8.5 	8.1 	7.8 	7.3 	7.3 bd	6.7 d	6.7 d	6.7 d
A,PC,M,Y20-64,NAT,HR	14.8 	11.7 	9.9 	7.2 	5.8 	6.9 	6.7 b	5.7 	5.4 	4.8 
A,PC,M,Y20-64,NAT,HU	6.5 	5.0 	3.7 	3.3 b	3.2 	4.0 	3.7 b	3.6 	3.9 	4.4 
A,PC,M,Y20-64,NAT,IE	10.3 	8.9 	6.8 b	5.5 	4.8 	5.0 	5.8 b	4.0 	4.0 	3.7 
A,PC,M,Y20-64,NAT,IS	3.0 	2.6 	2.5 	2.3 	3.2 	4.6 b	4.9 b	2.8 	2.8 	2.4 
A,PC,M,Y20-64,NAT,IT	10.8 	10.5 	10.0 	9.3 b	8.6 	8.0 	8.2 b	6.7 	6.4 	5.5 
A,PC,M,Y20-64,NAT,LT	10.2 	9.2 	8.7 	7.1 	7.2 	9.6 	7.8 b	6.5 	7.5 	7.8 
A,PC,M,Y20-64,NAT,LU	3.6 b	4.0 	3.9 	4.0 	4.3 	5.2 	3.8 b	3.9 	4.0 u	5.5 
A,PC,M,Y20-64,NAT,LV	10.7 	10.8 	9.1 	7.9 	6.9 	9.1 	8.4 b	7.9 	7.5 	7.8 
A,PC,M,Y20-64,NAT,ME	17.6 	18.1 	15.6 	15.4 	15.1 	17.4 	: 	: 	: 	: 
A,PC,M,Y20-64,NAT,MK	26.7 	24.0 	22.3 	20.9 	16.4 	16.6 	: 	: 	: 	: 
A,PC,M,Y20-64,NAT,MT	5.2 	4.2 	2.8 	2.7 	2.4 	3.3 	3.3 b	2.3 	2.5 	2.5 
A,PC,M,Y20-64,NAT,NL	5.7 	4.8 	3.8 	3.2 	2.8 	3.0 	3.1 b	2.6 	2.6 	2.6 
A,PC,M,Y20-64,NAT,NO	3.6 	4.4 	3.7 	3.1 	2.9 	3.6 	3.4 b	2.5 	2.4 	2.8 
A,PC,M,Y20-64,NAT,PL	7.2 	6.0 	4.8 	3.8 	2.9 b	3.0 	3.4 b	2.8 	2.7 	2.7 
A,PC,M,Y20-64,NAT,PT	12.3 	11.1 	8.4 	6.5 	5.8 	6.6 	6.5 b	5.6 	5.9 	5.6 
A,PC,M,Y20-64,NAT,RO	7.4 	6.4 	5.5 	4.5 	4.1 	5.0 	5.6 b	5.6 	5.5 	5.2 
A,PC,M,Y20-64,NAT,RS	17.0 	14.9 	13.1 	12.2 	10.0 	8.8 	10.2 b	9.0 	8.8 	8.4 
A,PC,M,Y20-64,NAT,SE	5.9 	5.2 	5.0 	4.3 b	4.5 	5.7 	6.5 b	5.0 	5.5 	6.2 
A,PC,M,Y20-64,NAT,SI	8.0 	7.6 	5.8 	4.7 	3.9 	4.5 	4.2 b	3.7 	3.6 	3.1 
A,PC,M,Y20-64,NAT,SK	10.1 	8.5 	7.7 	5.9 	5.5 	6.2 	6.6 b	5.7 	5.6 	4.5 
A,PC,M,Y20-64,NAT,UK	4.7 	4.3 	3.9 	3.7 	3.5 	: 	: 	: 	: 	: 
A,PC,M,Y20-64,NEU27_2020_FOR,AT	15.4 	16.4 	15.4 	13.7 	12.2 	15.2 	14.3 b	10.3 	12.5 	13.0 
A,PC,M,Y20-64,NEU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,BE	26.9 	25.1 	22.9 b	22.8 	17.4 	19.7 	17.8 b	14.6 	17.4 	17.9 
A,PC,M,Y20-64,NEU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,CH	12.7 	12.3 	11.4 	10.3 	10.5 	10.7 	11.8 b	8.9 	8.6 	10.0 
A,PC,M,Y20-64,NEU27_2020_FOR,CY	11.4 u	13.7 	15.2 	9.5 u	7.1 u	11.8 	14.3 b	12.8 	10.6 	8.0 
A,PC,M,Y20-64,NEU27_2020_FOR,CZ	3.0 u	4.1 u	2.5 u	2.1 u	1.3 u	2.6 u	2.0 bu	2.2 u	1.4 u	3.1 u
